_id,sid_comment,star,time,comment
,210,5,,第210篇評論找不到，得用RAWDATA回溯
,211,3,,第211篇評論找不到，得用RAWDATA回溯
,212,5,,第212篇評論找不到，得用RAWDATA回溯
,213,3,,第213篇評論找不到，得用RAWDATA回溯
,214,3,,第214篇評論找不到，得用RAWDATA回溯
,215,5,,第215篇評論找不到，得用RAWDATA回溯
,216,5,,第216篇評論找不到，得用RAWDATA回溯
,217,4,,第217篇評論找不到，得用RAWDATA回溯
,218,3,,第218篇評論找不到，得用RAWDATA回溯
,219,4,,第219篇評論找不到，得用RAWDATA回溯
,220,5,,第220篇評論找不到，得用RAWDATA回溯
,221,5,,第221篇評論找不到，得用RAWDATA回溯
,222,4,,第222篇評論找不到，得用RAWDATA回溯
,223,3,,第223篇評論找不到，得用RAWDATA回溯
,224,4,,第224篇評論找不到，得用RAWDATA回溯
,225,3,,第225篇評論找不到，得用RAWDATA回溯
,226,5,,第226篇評論找不到，得用RAWDATA回溯
,227,2,,第227篇評論找不到，得用RAWDATA回溯
,228,4,,第228篇評論找不到，得用RAWDATA回溯
,229,2,,第229篇評論找不到，得用RAWDATA回溯
,230,5,,第230篇評論找不到，得用RAWDATA回溯
,231,5,,第231篇評論找不到，得用RAWDATA回溯
,232,3,,第232篇評論找不到，得用RAWDATA回溯
,233,4,,第233篇評論找不到，得用RAWDATA回溯
,234,5,,第234篇評論找不到，得用RAWDATA回溯
,235,4,,第235篇評論找不到，得用RAWDATA回溯
,236,4,,第236篇評論找不到，得用RAWDATA回溯
,237,4,,第237篇評論找不到，得用RAWDATA回溯
,238,5,,第238篇評論找不到，得用RAWDATA回溯
,239,4,,第239篇評論找不到，得用RAWDATA回溯
,240,4,,第240篇評論找不到，得用RAWDATA回溯
,241,1,,第241篇評論找不到，得用RAWDATA回溯
,242,5,,第242篇評論找不到，得用RAWDATA回溯
,243,4,,第243篇評論找不到，得用RAWDATA回溯
,244,3,,第244篇評論找不到，得用RAWDATA回溯
,245,5,,第245篇評論找不到，得用RAWDATA回溯
,246,5,,第246篇評論找不到，得用RAWDATA回溯
,247,4,,第247篇評論找不到，得用RAWDATA回溯
,248,5,,第248篇評論找不到，得用RAWDATA回溯
,249,2,,第249篇評論找不到，得用RAWDATA回溯
,250,4,,第250篇評論找不到，得用RAWDATA回溯
,251,3,,第251篇評論找不到，得用RAWDATA回溯
,252,2,,第252篇評論找不到，得用RAWDATA回溯
,253,4,,第253篇評論找不到，得用RAWDATA回溯
,254,3,,第254篇評論找不到，得用RAWDATA回溯
,255,5,,第255篇評論找不到，得用RAWDATA回溯
,256,5,,第256篇評論找不到，得用RAWDATA回溯
,257,4,,第257篇評論找不到，得用RAWDATA回溯
,258,4,,第258篇評論找不到，得用RAWDATA回溯
,259,1,,第259篇評論找不到，得用RAWDATA回溯
,260,4,,第260篇評論找不到，得用RAWDATA回溯
,261,2,,第261篇評論找不到，得用RAWDATA回溯
,262,5,,第262篇評論找不到，得用RAWDATA回溯
,263,3,,第263篇評論找不到，得用RAWDATA回溯
,264,5,,第264篇評論找不到，得用RAWDATA回溯
,265,4,,第265篇評論找不到，得用RAWDATA回溯
,266,2,,第266篇評論找不到，得用RAWDATA回溯
,267,1,,第267篇評論找不到，得用RAWDATA回溯
,268,5,,第268篇評論找不到，得用RAWDATA回溯
,269,3,,第269篇評論找不到，得用RAWDATA回溯
,270,4,,第270篇評論找不到，得用RAWDATA回溯
,271,3,,第271篇評論找不到，得用RAWDATA回溯
,272,5,,第272篇評論找不到，得用RAWDATA回溯
,273,4,,第273篇評論找不到，得用RAWDATA回溯
,274,3,,第274篇評論找不到，得用RAWDATA回溯
,275,3,,第275篇評論找不到，得用RAWDATA回溯
,276,4,,第276篇評論找不到，得用RAWDATA回溯
,277,5,,第277篇評論找不到，得用RAWDATA回溯
,278,5,,第278篇評論找不到，得用RAWDATA回溯
,279,5,,第279篇評論找不到，得用RAWDATA回溯
,280,3,,第280篇評論找不到，得用RAWDATA回溯
,281,1,,第281篇評論找不到，得用RAWDATA回溯
,282,3,,第282篇評論找不到，得用RAWDATA回溯
,283,3,,第283篇評論找不到，得用RAWDATA回溯
